City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current description,Rain (last 3 hrs),Snow (last 3 hrs),Date
57,Ontario,34.06,-117.65,82.4,36,40,12.75,US,,,,2020-05-30 21:24:04
58,Cherskiy,68.75,161.3,52.12,45,25,18.23,RU,scattered clouds,0.0,0.0,2020-05-30 21:19:41
59,Cherskiy,68.75,161.3,52.12,45,25,18.23,RU,,,,2020-05-30 21:19:41
60,Kalino,58.25,57.61,52.29,92,99,5.57,RU,overcast clouds,0.0,0.0,2020-05-30 21:27:52
61,Kalino,58.25,57.61,52.29,92,99,5.57,RU,,,,2020-05-30 21:27:52
62,Aginskoye,51.1,114.53,41.63,85,99,9.48,RU,overcast clouds,0.0,0.0,2020-05-30 21:27:52
63,Aginskoye,51.1,114.53,41.63,85,99,9.48,RU,,,,2020-05-30 21:27:52
64,Staunton,38.15,-79.07,82.4,36,75,4.7,US,broken clouds,0.0,0.0,2020-05-30 21:24:12
65,Staunton,38.15,-79.07,82.4,36,75,4.7,US,,,,2020-05-30 21:24:12
66,Busselton,-33.65,115.33,55.99,83,84,14.34,AU,light rain,0.0,0.0,2020-05-30 21:19:38
67,Busselton,-33.65,115.33,55.99,83,84,14.34,AU,,,,2020-05-30 21:19:38
68,Hede,33.77,120.25,62.51,97,54,3.0,CN,broken clouds,0.0,0.0,2020-05-30 21:27:52
69,Hede,33.77,120.25,62.51,97,54,3.0,CN,,,,2020-05-30 21:27:52
70,Tiksi,71.69,128.87,35.29,85,94,4.09,RU,overcast clouds,0.0,0.0,2020-05-30 21:19:57
71,Tiksi,71.69,128.87,35.29,85,94,4.09,RU,,,,2020-05-30 21:19:57
72,Alice Springs,-23.7,133.88,53.6,76,0,5.82,AU,clear sky,0.0,0.0,2020-05-30 21:19:54
73,Alice Springs,-23.7,133.88,53.6,76,0,5.82,AU,,,,2020-05-30 21:19:54
74,Butaritari,3.07,172.79,81.12,77,100,10.36,KI,overcast clouds,0.0,0.0,2020-05-30 21:17:15
75,Butaritari,3.07,172.79,81.12,77,100,10.36,KI,,,,2020-05-30 21:17:15
76,Saint-Philippe,-21.36,55.77,69.8,68,3,5.82,RE,clear sky,0.0,0.0,2020-05-30 21:19:39
77,Saint-Philippe,-21.36,55.77,69.8,68,3,5.82,RE,,,,2020-05-30 21:19:39
78,Omaruru,-21.43,15.93,59.25,30,0,6.31,NA,clear sky,0.0,0.0,2020-05-30 21:27:52
79,Omaruru,-21.43,15.93,59.25,30,0,6.31,NA,,,,2020-05-30 21:27:52
80,Tukrah,32.53,20.58,68.22,63,100,17.78,LY,overcast clouds,0.0,0.0,2020-05-30 21:20:10
81,Tukrah,32.53,20.58,68.22,63,100,17.78,LY,,,,2020-05-30 21:20:10
82,Shahreza,32.03,51.88,77.68,22,63,7.92,IR,broken clouds,0.0,0.0,2020-05-30 21:27:53
83,Shahreza,32.03,51.88,77.68,22,63,7.92,IR,,,,2020-05-30 21:27:53
84,Los Llanos De Aridane,28.66,-17.92,69.8,83,90,9.17,ES,overcast clouds,0.0,0.0,2020-05-30 21:17:43
85,Los Llanos De Aridane,28.66,-17.92,69.8,83,90,9.17,ES,,,,2020-05-30 21:17:43
86,Rikitea,-23.12,-134.97,74.89,80,1,11.03,PF,clear sky,0.0,0.0,2020-05-30 21:19:41
87,Rikitea,-23.12,-134.97,74.89,80,1,11.03,PF,,,,2020-05-30 21:19:41
88,Kapaa,22.08,-159.32,84.0,69,75,12.75,US,broken clouds,0.0,0.0,2020-05-30 21:17:17
89,Kapaa,22.08,-159.32,84.0,69,75,12.75,US,,,,2020-05-30 21:17:17
90,Tasiilaq,65.61,-37.64,39.2,80,99,16.11,GL,light intensity shower rain,0.0,0.0,2020-05-30 21:20:20
91,Tasiilaq,65.61,-37.64,39.2,80,99,16.11,GL,,,,2020-05-30 21:20:20
92,Hermanus,-34.42,19.23,57.99,86,0,5.99,ZA,clear sky,0.0,0.0,2020-05-30 21:19:53
93,Hermanus,-34.42,19.23,57.99,86,0,5.99,ZA,,,,2020-05-30 21:19:53
94,Khandyga,62.67,135.6,41.49,59,0,1.9,RU,clear sky,0.0,0.0,2020-05-30 21:19:46
95,Khandyga,62.67,135.6,41.49,59,0,1.9,RU,,,,2020-05-30 21:19:46
96,Kodiak,57.79,-152.41,51.8,76,1,6.93,US,clear sky,0.0,0.0,2020-05-30 21:17:15
97,Kodiak,57.79,-152.41,51.8,76,1,6.93,US,,,,2020-05-30 21:17:15
98,Hilo,19.73,-155.09,80.6,69,75,4.7,US,broken clouds,0.0,0.0,2020-05-30 21:16:27
99,Hilo,19.73,-155.09,80.6,69,75,4.7,US,,,,2020-05-30 21:16:27
100,Dikson,73.51,80.55,29.39,99,91,12.62,RU,overcast clouds,0.0,0.0,2020-05-30 21:19:40
101,Dikson,73.51,80.55,29.39,99,91,12.62,RU,,,,2020-05-30 21:19:40
102,Sao Domingos Do Maranhao,-5.58,-44.39,75.74,89,83,3.65,BR,broken clouds,0.0,0.0,2020-05-30 21:27:54
103,Sao Domingos Do Maranhao,-5.58,-44.39,75.74,89,83,3.65,BR,,,,2020-05-30 21:27:54
104,Port Alfred,-33.59,26.89,57.99,83,0,4.0,ZA,clear sky,0.0,0.0,2020-05-30 21:17:13
105,Port Alfred,-33.59,26.89,57.99,83,0,4.0,ZA,,,,2020-05-30 21:17:13
106,Mackay,-21.15,149.2,61.0,93,29,5.82,AU,scattered clouds,0.0,0.0,2020-05-30 21:27:54
107,Mackay,-21.15,149.2,61.0,93,29,5.82,AU,,,,2020-05-30 21:27:54
108,Khatanga,71.97,102.5,35.6,84,100,4.27,RU,overcast clouds,0.0,0.0,2020-05-30 21:20:02
109,Khatanga,71.97,102.5,35.6,84,100,4.27,RU,,,,2020-05-30 21:20:02
110,Bereda,43.27,-7.54,64.99,81,100,5.37,ES,light rain,0.0,0.0,2020-05-30 21:27:54
111,Bereda,43.27,-7.54,64.99,81,100,5.37,ES,,,,2020-05-30 21:27:54
112,New Norfolk,-42.78,147.06,54.0,62,37,5.01,AU,scattered clouds,0.0,0.0,2020-05-30 21:19:40
113,New Norfolk,-42.78,147.06,54.0,62,37,5.01,AU,,,,2020-05-30 21:19:40
114,Mar Del Plata,-38.0,-57.56,54.0,93,75,13.87,AR,broken clouds,0.0,0.0,2020-05-30 21:19:06
115,Mar Del Plata,-38.0,-57.56,54.0,93,75,13.87,AR,,,,2020-05-30 21:19:06
116,Anadyr,64.75,177.48,44.6,70,65,20.13,RU,fog,0.0,0.0,2020-05-30 21:20:14
117,Anadyr,64.75,177.48,44.6,70,65,20.13,RU,,,,2020-05-30 21:20:14
118,Melo,-32.37,-54.18,63.27,88,100,4.76,UY,overcast clouds,0.0,0.0,2020-05-30 21:27:55
119,Melo,-32.37,-54.18,63.27,88,100,4.76,UY,,,,2020-05-30 21:27:55
120,Karabuk,41.2,32.63,52.41,75,0,2.01,TR,clear sky,0.0,0.0,2020-05-30 21:27:55
121,Karabuk,41.2,32.63,52.41,75,0,2.01,TR,,,,2020-05-30 21:27:55
122,Oktyabrskiy,54.48,53.47,59.88,83,68,3.83,RU,broken clouds,0.0,0.0,2020-05-30 21:27:55
123,Oktyabrskiy,54.48,53.47,59.88,83,68,3.83,RU,,,,2020-05-30 21:27:55
124,Vershino-Shakhtaminskiy,51.3,117.89,39.43,98,100,4.09,RU,light rain,0.0,0.0,2020-05-30 21:27:55
125,Vershino-Shakhtaminskiy,51.3,117.89,39.43,98,100,4.09,RU,,,,2020-05-30 21:27:55
126,Hashtgerd,35.96,50.69,80.6,18,20,4.7,IR,few clouds,0.0,0.0,2020-05-30 21:27:55
127,Hashtgerd,35.96,50.69,80.6,18,20,4.7,IR,,,,2020-05-30 21:27:55
128,Avarua,-21.21,-159.78,82.4,83,1,3.36,CK,clear sky,0.0,0.0,2020-05-30 21:17:26
129,Avarua,-21.21,-159.78,82.4,83,1,3.36,CK,,,,2020-05-30 21:17:26
130,Lebu,-37.62,-73.65,52.11,63,0,21.92,CL,clear sky,0.0,0.0,2020-05-30 21:20:13
131,Lebu,-37.62,-73.65,52.11,63,0,21.92,CL,,,,2020-05-30 21:20:13
132,Rutul,41.54,47.42,73.4,69,20,9.17,RU,few clouds,0.0,0.0,2020-05-30 21:27:56
133,Rutul,41.54,47.42,73.4,69,20,9.17,RU,,,,2020-05-30 21:27:56
134,Otacilio Costa,-27.48,-50.12,55.58,71,0,2.28,BR,clear sky,0.0,0.0,2020-05-30 21:27:56
135,Otacilio Costa,-27.48,-50.12,55.58,71,0,2.28,BR,,,,2020-05-30 21:27:56
136,Inhambane,-23.86,35.38,70.75,82,0,7.58,MZ,clear sky,0.0,0.0,2020-05-30 21:27:56
137,Inhambane,-23.86,35.38,70.75,82,0,7.58,MZ,,,,2020-05-30 21:27:56
138,Bethel,41.37,-73.41,80.01,31,40,9.17,US,scattered clouds,0.0,0.0,2020-05-30 21:20:30
139,Bethel,41.37,-73.41,80.01,31,40,9.17,US,,,,2020-05-30 21:20:30
140,Cape Town,-33.93,18.42,51.8,93,0,2.24,ZA,fog,0.0,0.0,2020-05-30 21:16:50
141,Cape Town,-33.93,18.42,51.8,93,0,2.24,ZA,,,,2020-05-30 21:16:50
142,Bonthe,7.53,-12.51,80.1,84,100,2.84,SL,moderate rain,0.0,0.0,2020-05-30 21:20:11
