City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Mahibadhoo,MV,2020-05-27 20:18:38,3.78,72.97,83.43,78,77,13.87
70,Mama,RU,2020-05-27 20:18:38,58.31,112.9,40.57,79,97,8.08
71,Kodiak,US,2020-05-27 20:18:39,57.79,-152.41,50.0,76,90,11.41
72,Mayor Pablo Lagerenza,PY,2020-05-27 20:18:39,-19.93,-60.77,84.02,25,0,6.42
73,Puerto Leguizamo,CO,2020-05-27 20:18:39,-0.19,-74.78,83.8,69,14,2.37
74,Barrow,US,2020-05-27 20:18:39,71.29,-156.79,30.2,92,90,1.03
75,Cape Town,ZA,2020-05-27 20:15:36,-33.93,18.42,57.0,71,75,13.87
76,Yellowknife,CA,2020-05-27 20:18:39,62.46,-114.35,51.8,21,20,4.7
77,Panjakent,TJ,2020-05-27 20:18:40,39.5,67.61,77.0,44,72,4.7
78,Hassleholm,SE,2020-05-27 20:18:40,56.16,13.77,57.0,62,100,8.05
79,Torbay,CA,2020-05-27 20:18:40,47.67,-52.73,46.0,75,75,11.41
80,Tezu,IN,2020-05-27 20:18:40,27.92,96.17,67.6,65,100,3.33
81,Alepe,CI,2020-05-27 20:18:40,5.5,-3.66,80.6,88,75,9.17
82,Lere,NG,2020-05-27 20:18:40,10.39,8.57,75.56,75,100,4.14
83,Cartagena Del Chaira,CO,2020-05-27 20:18:40,1.33,-74.84,82.22,77,98,2.77
84,Ust-Maya,RU,2020-05-27 20:18:41,60.42,134.53,57.25,81,29,7.9
85,Lasa,IT,2020-05-27 20:18:41,46.62,10.7,53.6,58,5,8.05
86,Vostok,RU,2020-05-27 20:18:41,46.49,135.88,42.84,98,62,3.76
87,Isangel,VU,2020-05-27 20:18:41,-19.55,169.27,69.8,94,75,10.02
88,Eureka,US,2020-05-27 20:18:41,40.8,-124.16,66.99,68,15,5.01
89,Chingirlau,KZ,2020-05-27 20:18:41,51.09,54.08,68.83,78,23,7.45
90,Tasiilaq,GL,2020-05-27 20:18:41,65.61,-37.64,37.4,82,33,5.82
91,Ribeira Grande,PT,2020-05-27 20:18:41,38.52,-28.7,64.4,63,40,16.11
92,Namibe,AO,2020-05-27 20:18:42,-15.2,12.15,71.38,75,63,2.82
93,Tiznit,MA,2020-05-27 20:18:42,29.58,-9.5,77.5,43,0,5.28
94,Ugoofaaru,MV,2020-05-27 20:18:42,5.67,73.0,83.75,79,99,15.9
95,Oistins,BB,2020-05-27 20:18:42,13.07,-59.53,86.0,70,40,19.46
96,Xai-Xai,MZ,2020-05-27 20:18:42,-25.05,33.64,64.62,67,49,8.7
97,Dikson,RU,2020-05-27 20:18:42,73.51,80.55,31.41,99,100,9.71
98,Necochea,AR,2020-05-27 20:18:43,-38.55,-58.74,63.0,69,0,1.99
99,Tres Lagoas,BR,2020-05-27 20:18:43,-20.75,-51.68,69.82,51,0,2.21
100,Tilichiki,RU,2020-05-27 20:18:43,60.47,166.1,32.94,95,13,6.24
101,Prince George,CA,2020-05-27 20:14:01,53.92,-122.75,62.01,33,20,4.7
102,Eyl,SO,2020-05-27 20:18:43,7.98,49.82,82.9,79,19,19.1
103,La Ronge,CA,2020-05-27 20:18:43,55.1,-105.28,39.2,93,90,9.17
104,Almaznyy,RU,2020-05-27 20:15:38,48.04,40.05,64.4,63,82,17.9
105,Esperance,AU,2020-05-27 20:18:44,-33.87,121.9,51.8,81,0,14.99
106,Freetown,SL,2020-05-27 20:18:44,8.48,-13.23,79.39,86,99,5.86
107,Atuona,PF,2020-05-27 20:15:07,-9.8,-139.03,80.96,73,16,7.54
