City,Country,Max Temp,Current description,Lat,Lng,Hotel Name
Asyut,EG,73.4,clear sky,27.18,31.18,Florence Hotel Assiut
Bryan,US,89.01,scattered clouds,30.67,-96.37,Best Western Premier Bryan College Station
Ayna,PE,70.23,broken clouds,-12.65,-73.92,
Payakumbuh,ID,71.73,moderate rain,-0.22,100.63,OYO 3114 Homestay Dalimo
Zhezkazgan,KZ,73.51,clear sky,47.8,67.71,Kvartiry Posutochno.
Cayenne,GF,84.2,few clouds,4.93,-52.33,Hôtel Le Dronmi
Bengkulu,ID,75.94,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
Nabire,ID,76.51,light rain,-3.37,135.48,Hotel Nusantara Nabire
Kampong Thum,KH,77.95,overcast clouds,12.71,104.89,Sambor Village Hotel
Komsomolskiy,UZ,73.4,few clouds,40.43,71.72,"Hotel ""Ikathouse"""
Roebourne,AU,73.62,broken clouds,-20.78,117.13,Harding River Caravan Park
Orchard Homes,US,84.99,clear sky,46.86,-114.05,Broadway Inn Missoula
Bakel,SN,84.27,scattered clouds,14.9,-12.46,Hôtel islam
Umiray,PH,80.24,scattered clouds,15.22,121.41,
Kudahuvadhoo,MV,83.21,light rain,2.67,72.89,Kudahuvadhoo Retreat
Yanam,IN,81.52,overcast clouds,16.73,82.22,The Regency Hotel
Male,MV,82.4,broken clouds,4.17,73.51,Hotel Octave Maldives
Virginia Beach,US,78.01,thunderstorm,36.85,-75.98,Hilton Virginia Beach Oceanfront
La Asuncion,VE,81.61,few clouds,11.03,-63.86,Colinas de Matasiete
Qui Nhon,VN,79.97,clear sky,13.77,109.23,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
Itaueira,BR,74.88,broken clouds,-7.6,-43.03,Hotel Pousada Luz
Savannah Bight,HN,83.32,overcast clouds,16.45,-85.85,Villa on Dunbar Rock
Lazaro Cardenas,MX,82.87,clear sky,17.96,-102.2,Hotel Quinta Antigua
Merauke,ID,78.51,scattered clouds,-8.47,140.33,
Tautira,PF,86.0,few clouds,-17.73,-149.15,Pension Oaoa
Watrous,CA,70.56,few clouds,51.67,-105.47,Manitou Hotel
Mattru,SL,77.04,moderate rain,7.62,-11.83,Boima Gbondo's Compound
Tutoia,BR,78.53,overcast clouds,-2.76,-42.27,Pousada Guará's
Mitsamiouli,KM,81.0,clear sky,-11.38,43.28,Foyer ADM
Bonito,BR,73.89,broken clouds,-21.12,-56.48,Marruá Hotel
Ygatimi,PY,75.54,few clouds,-24.08,-55.5,
Labuhan,ID,78.71,broken clouds,-6.88,112.21,bador sepret
Sur,OM,89.51,overcast clouds,22.57,59.53,Sur Plaza Hotel
Namatanai,PG,80.8,clear sky,-3.67,152.43,Namatanai Hotel
Demba,CD,73.0,clear sky,-5.51,22.27,
Alofi,NU,82.4,clear sky,-19.06,-169.92,Taloa Heights
Cotonou,BJ,80.6,few clouds,6.37,2.42,Novotel Cotonou Orisha
Hoi An,VN,80.6,few clouds,15.88,108.33,Belle Maison Hadana Hoi An Resort & Spa managed by H&K Hospitality
San Carlos,VE,81.1,light rain,9.66,-68.58,Hotel Paternopoli
Broome,US,73.0,broken clouds,42.25,-75.83,Chenango Valley State Park
Cedar City,US,71.6,moderate rain,37.68,-113.06,Hampton Inn Cedar City
Bombay,IN,87.8,haze,19.01,72.85,Four Seasons Hotel Mumbai
San Patricio,MX,80.6,few clouds,19.22,-104.7,Hotel Cabo Blanco
San Matias,BO,83.64,clear sky,-16.37,-58.4,"HOTEL ""SAN JOSE"""
Marica,BR,71.6,clear sky,-22.92,-42.82,Marica Hills
Sagaing,MM,80.8,light rain,21.88,95.98,Hotel Golden World
Moratuwa,LK,80.82,light rain,6.77,79.88,Sa Mansion By Yoho
Tura,IN,71.74,moderate rain,25.52,90.22,Hotel RIKMAN Continental
Xushan,CN,70.0,mist,30.18,121.25,Hangzhou Bay Hotel
Tabuk,PH,74.61,clear sky,17.42,121.44,RVF cebu lechon
Kollam,IN,82.4,mist,8.88,76.6,The Raviz Ashtamudi
Axim,GH,78.15,moderate rain,4.87,-2.24,AXIM BEACH RESORT AND SPA
Santa Isabel,BR,75.2,clear sky,-23.32,-46.22,Chácara Sombra do Altíssimo
Wenling,CN,73.0,overcast clouds,28.37,121.36,Hanting Express Wenling Wanchang North Road
Manali,IN,86.0,few clouds,13.17,80.27,Sarathy Lodge
